Non-sports spread census  2026-08-16T00:06:41.541000+00:00
==============================================================================
events: 281 sports, 9888 non-sports
CONTROL median half-spread (sports, median of per-series medians): 10.0 tenths
  from 19 sports series with >= 5 readable markets

series                          n    half   ratio  verdict
KXEREDIVISIETOTAL              24    10.0    1.00  WORTH A FAIR VALUE
KXETTANSPREAD                  24   467.5   46.75  DEAD
KXCHNL1TOTAL                   24    52.5    5.25  DEAD
KXK2LEAGUETOTAL                24    30.0    3.00  DEAD
KXUSL1HTOTAL                   24    25.0    2.50  UNRESOLVED
KXUSL1H                        24    20.0    2.00  UNRESOLVED
KXNOBELPHYSICS                 24    35.0    3.50  DEAD
KXOSCARNOMSUPACTO              24    22.5    2.25  UNRESOLVED
KXTSLAA                        23    45.0    4.50  DEAD
KXSPOTA                        23    50.0    5.00  DEAD
KXACTORWHITELOTUS              23    30.0    3.00  DEAD
KXNHL                          23     5.0    0.50  WORTH A FAIR VALUE
KXSE                           23    45.0    4.50  DEAD
KXCOPADELREY                   23    80.0    8.00  DEAD
KXSNOWFLAKE                    23    50.0    5.00  DEAD
KXEFLCUP                       23    30.0    3.00  DEAD
KXNFLMVP                       23     5.0    0.50  WORTH A FAIR VALUE
KXHOOD                         23    35.0    3.50  DEAD
KXSB                           23     5.0    0.50  WORTH A FAIR VALUE
KXOSCARNOMDIR                  23    25.0    2.50  UNRESOLVED
KXFRAGRANCE                    23    95.0    9.50  DEAD
KXB200MAX                      23    40.0    4.00  DEAD
KXF1ACTION                     23    20.0    2.00  UNRESOLVED
KXBIGBROTHERRANK               23     5.0    0.50  WORTH A FAIR VALUE
KXHURRICANENAMES               23   190.0   19.00  DEAD
KXNBANEXTTEAM                  23    50.0    5.00  DEAD
KXWTA                          23    10.0    1.00  WORTH A FAIR VALUE
KXSILVERMON                    23    20.0    2.00  UNRESOLVED
KXBOND                         22     5.0    0.50  WORTH A FAIR VALUE
KXVPRESNOMR                    22     3.5    0.35  WORTH A FAIR VALUE
KXVPRESNOMD                    22     3.2    0.33  WORTH A FAIR VALUE
