Non-sports spread census  2026-08-16T00:06:41.541000+00:00
==============================================================================
events: 281 sports, 9888 non-sports
CONTROL median half-spread (sports, median of per-series medians): 10.0 tenths
  from 19 sports series with >= 5 readable markets

series                          n    half   ratio  verdict
KXULTAA                         8    50.0    5.00  DEAD
KXNBAWEST                       8     5.0    0.50  WORTH A FAIR VALUE
KXRELYA                         8     5.0    0.50  WORTH A FAIR VALUE
KXWENA                          8    45.0    4.50  DEAD
KXABNBA                         8    42.5    4.25  DEAD
KXWHA                           8    45.0    4.50  DEAD
KXUBERA                         8    45.0    4.50  DEAD
KXDASHA                         8    45.0    4.50  DEAD
KXPMA                           8    47.5    4.75  DEAD
KXLUCEDELIVERY                  8    40.0    4.00  DEAD
KXIPOSTARLINK                   8    10.0    1.00  WORTH A FAIR VALUE
KXIPOOLIPOP                     8    37.5    3.75  DEAD
KXIPOGLEAN                      8    40.0    4.00  DEAD
KXIPOBEASTINDUSTRIES            8    37.5    3.75  DEAD
KXIPOAPPSFLYER                  8    40.0    4.00  DEAD
KXIPHONERELEASE                 8    22.5    2.25  UNRESOLVED
KXATZA                          8    50.0    5.00  DEAD
KXNCAAMBIVY                     8   212.5   21.25  DEAD
KXNCAAMBSUM                     8   472.5   47.25  DEAD
KXNCAAMBBSOU                    8   472.5   47.25  DEAD
KXNCAAMBSLC                     8   485.0   48.50  DEAD
KXLIF                           8     5.0    0.50  WORTH A FAIR VALUE
KXATZ                           8    50.0    5.00  DEAD
KXTLN                           8    35.0    3.50  DEAD
KXSPCX                          8    45.0    4.50  DEAD
KXZETAA                         8    50.0    5.00  DEAD
KXRDDT                          8    50.0    5.00  DEAD
KXNCLH                          8    35.0    3.50  DEAD
KXMO                            8    50.0    5.00  DEAD
KXMAR                           8    47.5    4.75  DEAD
KXEBAY                          8    50.0    5.00  DEAD
KXAMZN                          8    50.0    5.00  DEAD
KXWH                            8    45.0    4.50  DEAD
KXSTZ                           8    45.0    4.50  DEAD
KXRANKLISTFFK                   8    85.0    8.50  DEAD
KXNBACUP                        8    47.5    4.75  DEAD
KXNYCRENTSY                     8    50.0    5.00  DEAD
KXUSMCAOUTCOMES                 8    95.0    9.50  DEAD
KXH5N1COUNT                     8    40.0    4.00  DEAD
KXMEAD                          8    30.0    3.00  DEAD
KXTRUMPAPPROVALYEAR             8     4.8    0.47  WORTH A FAIR VALUE
KXTXHOUSEDEMSEATS               8    30.0    3.00  DEAD
KXAISPIKE                       8    15.0    1.50  WORTH A FAIR VALUE
KXAAAGASMAXNY                   8    66.0    6.60  DEAD
KXVOTECLARITY                   8    30.0    3.00  DEAD
KXNIKKEI                        8   100.0   10.00  DEAD
KXGAMERELEASE                   8    10.0    1.00  WORTH A FAIR VALUE
KXCOMPANYLAYOFF                 8    15.0    1.50  WORTH A FAIR VALUE
KXBALLONDOR                     8     5.0    0.50  WORTH A FAIR VALUE
KXAISTREAMSERIES                8    12.5    1.25  WORTH A FAIR VALUE
KXSOLMAXY                       8    12.5    1.25  WORTH A FAIR VALUE
KXETHMAXY                       8     5.0    0.50  WORTH A FAIR VALUE
KXSOLMINY                       8   100.0   10.00  DEAD
KXNEARMAXY                      8    97.5    9.75  DEAD
KXDOGEMAXY                      8   150.0   15.00  DEAD
KXBNBMINY                       8   100.0   10.00  DEAD
KXWTAGRANDSLAM                  8    15.0    1.50  WORTH A FAIR VALUE
KXWORDOFTHEYEAR                 8    10.0    1.00  WORTH A FAIR VALUE
KXTOPARTISTTHIRD                8    15.0    1.50  WORTH A FAIR VALUE
KXTOPALBUMTHIRDUSA              8    25.0    2.50  UNRESOLVED
KXTOPALBUMTHIRD                 8    25.0    2.50  UNRESOLVED
KXTOPALBUMRUNNERUPUSA           8    15.0    1.50  WORTH A FAIR VALUE
KXECULP                         8   167.5   16.75  DEAD
KXBRASILEIROTOPX                8   390.0   39.00  DEAD
KXUSL                           8   175.0   17.50  DEAD
KXNCAAFPAC12QUAL                8    57.5    5.75  DEAD
KXNCAAFPAC12                    8     7.5    0.75  WORTH A FAIR VALUE
KXNCAAFMWC                      8    10.0    1.00  WORTH A FAIR VALUE
KXNCAAFB10                      8     5.0    0.50  WORTH A FAIR VALUE
KXHURCTOTMAJ                    8    25.0    2.50  UNRESOLVED
KXMLBSTAT                       8    32.5    3.25  DEAD
KXGREYCUP                       8    40.0    4.00  DEAD
KXAUTODELQ                      8     7.5    0.75  WORTH A FAIR VALUE
KXWNBASEMIFINAL                 8   125.0   12.50  DEAD
KXBRPRES                        8     3.2    0.33  WORTH A FAIR VALUE
KXRGOVCOUNT                     8    30.0    3.00  DEAD
KXBRGOVMOSTSEATS                8    20.0    2.00  UNRESOLVED
KXJOINLEAGUE                    8    72.5    7.25  DEAD
KXPGACOMPETE                    8   485.0   48.50  DEAD
KXDDR5EWS                       8    60.0    6.00  DEAD
KXEHSALES                       8     5.0    0.50  WORTH A FAIR VALUE
KXTBCRUNCHWRAP                  8    30.0    3.00  DEAD
KXDEEPTOKEND                    8    62.5    6.25  DEAD
KXLEAGUESCUP                    8     5.0    0.50  WORTH A FAIR VALUE
KXSATRADEBAL                    8   100.0   10.00  DEAD
KXISMPMI                        8    12.5    1.25  WORTH A FAIR VALUE
KXRAINMIAM                      8    47.5    4.75  DEAD
KXNHSALES                       8    42.5    4.25  DEAD
KXPARDONSTRUMP                  8    37.5    3.75  DEAD
KXUKRETAIL                      8    35.0    3.50  DEAD
KXCFLGAME                       8   172.5   17.25  DEAD
KXAPRPOTUS                      8     5.0    0.50  WORTH A FAIR VALUE
KXWNBAOT                        8    15.0    1.50  WORTH A FAIR VALUE
KXENDORSEFISHBACK               8     7.0    0.70  WORTH A FAIR VALUE
KXBRASILEIRO1HBTTS              8    20.0    2.00  UNRESOLVED
KXCOPPAITALIABTTS               8    22.5    2.25  UNRESOLVED
KXCOPPAITALIA1HBTTS             8    37.5    3.75  DEAD
KXLALIGA1HSCORE                 8    45.0    4.50  DEAD
KXLOWTNOLA                      8    12.5    1.25  WORTH A FAIR VALUE
KXLOWTMIN                       8    25.0    2.50  UNRESOLVED
KXLOWTMIA                       8    15.0    1.50  WORTH A FAIR VALUE
KXLOWTAUS                       8    20.0    2.00  UNRESOLVED
KXLOWTATL                       8    25.0    2.50  UNRESOLVED
KXBRASILEIROC1HSPREAD           8   480.0   48.00  DEAD
KXCANPLSPREAD                   8   462.5   46.25  DEAD
KXHNLSPREAD                     8    40.0    4.00  DEAD
KXCZEFLSPREAD                   8    52.5    5.25  DEAD
KXISRPLCUPSPREAD                8   480.0   48.00  DEAD
KXUAEPLSPREAD                   8   305.0   30.50  DEAD
KXSCOCUPADVANCE                 8    40.0    4.00  DEAD
KXJ2LEAGUESPREAD                8    67.5    6.75  DEAD
KXSVK2LSPREAD                   8   480.0   48.00  DEAD
KXUSL1HBTTS                     8    20.0    2.00  UNRESOLVED
KXNASCARTOPTEAM                 8    25.0    2.50  UNRESOLVED
KXLPGATOUR                      8    18.2    1.82  UNRESOLVED
KXCRYPTOSTRUCTURE               8     5.0    0.50  WORTH A FAIR VALUE
KXNEWPOPE                       7     5.5    0.55  WORTH A FAIR VALUE
KXFINDEXACCOUNT                 7    40.0    4.00  DEAD
KXIPOBLOOMBERG                  7    35.0    3.50  DEAD
KXAUSTPM                        7    30.0    3.00  DEAD
KXPUTINDJTLOCATION              7    25.0    2.50  UNRESOLVED
KXAVGMEASLESDJT                 7    30.0    3.00  DEAD
KXSENATEPAD                     7    15.0    1.50  WORTH A FAIR VALUE
KXMOLDOVAPRES                   7    20.0    2.00  UNRESOLVED
KXSHAI20PTREC                   7    95.0    9.50  DEAD
KXRDDTA                         7    40.0    4.00  DEAD
KXPLTRA                         7   155.0   15.50  DEAD
KXVOTELAKE                      7    30.0    3.00  DEAD
KXFREDDIE                       7    45.0    4.50  DEAD
KXPERFORMROLEMILESMORALES       7    30.0    3.00  DEAD
KXOSCARNOMVISUAL                7    25.0    2.50  UNRESOLVED
KXOSCARDOCU                     7    30.0    3.00  DEAD
KXGRAMMYNOMROTY                 7    30.0    3.00  DEAD
KXARGENTINAPRES                 7    20.0    2.00  UNRESOLVED
KXLIKUDCOUNT                    7    20.0    2.00  UNRESOLVED
KXSAOPAULOSENATE                7    15.0    1.50  WORTH A FAIR VALUE
KXPEPTIDEAPPROVE                7    40.0    4.00  DEAD
KXFRPSNOM                       7    25.0    2.50  UNRESOLVED
KXBERLINSTATE                   7    15.0    1.50  WORTH A FAIR VALUE
KXAFDSACHSEN                    7    35.0    3.50  DEAD
KXGUATEMALACONGRESS             7    39.5    3.95  DEAD
KXCHWYA                         7    40.0    4.00  DEAD
KXDGA                           7    25.0    2.50  UNRESOLVED
KXURBNA                         7    45.0    4.50  DEAD
KXKRA                           7    30.0    3.00  DEAD
KXOKTAA                         7    50.0    5.00  DEAD
KXLIFA                          7     5.0    0.50  WORTH A FAIR VALUE
KXDDOGA                         7    70.0    7.00  DEAD
KXDAVEA                         7    40.0    4.00  DEAD
KXPBRA                          7    40.0    4.00  DEAD
KXLOWA                          7    50.0    5.00  DEAD
KXCOINA                         7    40.0    4.00  DEAD
KXMNDYA                         7    50.0    5.00  DEAD
KXIPORIPPLING                   7    40.0    4.00  DEAD
KXEPLLEADER                     7    50.0    5.00  DEAD
KXSERIEA                        7    25.0    2.50  UNRESOLVED
KXPREMIERLEAGUE                 7     5.0    0.50  WORTH A FAIR VALUE
KXDSAMEMBERSHIP                 7    35.0    3.50  DEAD
KXDOLA                          7    40.0    4.00  DEAD
KXIPOANTHROPIC                  7    20.0    2.00  UNRESOLVED
KXCONCACAFNL                    7   140.0   14.00  DEAD
KXNCAAMBUAC                     7   485.0   48.50  DEAD
KXDISA                          7    45.0    4.50  DEAD
KXETOR                          7    35.0    3.50  DEAD
KXMNDY                          7    50.0    5.00  DEAD
KXRELY                          7     5.0    0.50  WORTH A FAIR VALUE
KXYOU                           7    50.0    5.00  DEAD
KXWEN                           7    45.0    4.50  DEAD
KXABNB                          7    45.0    4.50  DEAD
KXCOINBASE                      7    50.0    5.00  DEAD
KXLOBA                          7    45.0    4.50  DEAD
KXCTCA                          7    40.0    4.00  DEAD
KXHIMS                          7     5.0    0.50  WORTH A FAIR VALUE
KXSP500WHEN                     7    30.0    3.00  DEAD
KXSOFI                          7     5.0    0.50  WORTH A FAIR VALUE
KXMAYORCHI                      7    33.5    3.35  DEAD
KXALK                           7    50.0    5.00  DEAD
KXPM                            7    40.0    4.00  DEAD
KXGRAMBNA                       7    20.0    2.00  UNRESOLVED
KXUSEDCARPRICE                  7     5.0    0.50  WORTH A FAIR VALUE
KXNUMREDISTRICTING              7   435.0   43.50  DEAD
KXDSENATESEATSH                 7     6.0    0.60  WORTH A FAIR VALUE
KXDSAWINS                       7    35.0    3.50  DEAD
KXNFLBLOWOUT                    7    95.0    9.50  DEAD
KXUSDINTLPAY                    7    40.0    4.00  DEAD
KXCCL                           7    25.0    2.50  UNRESOLVED
KXOSCARNOMDOCU                  7    30.0    3.00  DEAD
KXMPOXCOUNT                     7    35.0    3.50  DEAD
KXMARTINDNCOUT                  7    30.0    3.00  DEAD
KXKR                            7    45.0    4.50  DEAD
KXFOURSTATESEN                  7   437.5   43.75  DEAD
KXROLLINGSTONECOVER             7    35.0    3.50  DEAD
KXSPEAKER120                    7     5.0    0.50  WORTH A FAIR VALUE
KXMEDIAGUESTTBPN                7    95.0    9.50  DEAD
KXNGASMAX                       7   100.0   10.00  DEAD
KXAAAGASMAXFL                   7    40.0    4.00  DEAD
KXTESLASEMI                     7    15.0    1.50  WORTH A FAIR VALUE
KXNDAA                          7    30.0    3.00  DEAD
KXHOUSERUSSIASANCTION           7    15.0    1.50  WORTH A FAIR VALUE
KXDJIAREMOVE                    7    35.0    3.50  DEAD
KXCBRATEHIKE                    7    35.0    3.50  DEAD
KXCALIFORNIALEAVE               7    35.5    3.55  DEAD
KXARENASCORE                    7    20.0    2.00  UNRESOLVED
KXINXMAXY                       7     3.0    0.30  WORTH A FAIR VALUE
KXZECMAXY                       7   425.0   42.50  DEAD
KXFERT                          7    40.0    4.00  DEAD
KXBTCMAXY                       7     5.0    0.50  WORTH A FAIR VALUE
KXNASDAQ100MAXY                 7    60.0    6.00  DEAD
KXWNBAFINALSMVP                 7    35.0    3.50  DEAD
KXMOSTEXPENSIVEART              7    50.0    5.00  DEAD
KXMLBNLMOTY                     7    15.0    1.50  WORTH A FAIR VALUE
KXMLBEOTY                       7    80.0    8.00  DEAD
KXMDT                           7    50.0    5.00  DEAD
KXDG                            7    50.0    5.00  DEAD
KXCBDECISIONMEXICO              7    30.0    3.00  DEAD
KXNCAAFCUSA                     7    10.0    1.00  WORTH A FAIR VALUE
KXTROPSTORM                     7    25.0    2.50  UNRESOLVED
KXHURCTOT                       7    20.0    2.00  UNRESOLVED
KXWNBA                          7     5.0    0.50  WORTH A FAIR VALUE
KXNEXTHURDATE                   7    70.0    7.00  DEAD
KXMAXSHIPSHORMUZ                7    15.0    1.50  WORTH A FAIR VALUE
KXMLBFASTPITCH                  7    90.0    9.00  DEAD
KXNASCARAUTOPARTSSERIES         7    30.0    3.00  DEAD
KXILPENDEBT                     7    25.0    2.50  UNRESOLVED
KXOBAMAENDORSE                  7    30.0    3.00  DEAD
KXMLBNL                         7     5.0    0.50  WORTH A FAIR VALUE
KXUSDRESERVE                    7    40.0    4.00  DEAD
KXBRPRES1R                      7     8.5    0.85  WORTH A FAIR VALUE
KXBRBALLOT                      7    19.5    1.95  UNRESOLVED
KXNDXADDQ                       7    30.0    3.00  DEAD
KXCPL                           7     5.0    0.50  WORTH A FAIR VALUE
KXLULUCC                        7   480.0   48.00  DEAD
KXGEMINIAPP                     7     5.0    0.50  WORTH A FAIR VALUE
KXDKNGAPP                       7     5.0    0.50  WORTH A FAIR VALUE
KXDASHAPP                       7     5.0    0.50  WORTH A FAIR VALUE
KXCLAUDEAPP                     7    50.0    5.00  DEAD
KXCARTAPP                       7     5.0    0.50  WORTH A FAIR VALUE
KXCBDECISIONRUSSIA              7     5.0    0.50  WORTH A FAIR VALUE
KXCFACHICKSAND                  7    30.0    3.00  DEAD
KXDATACENTCON                   7    10.0    1.00  WORTH A FAIR VALUE
KXBILLBOARDRUNNERUPSONG         7   140.0   14.00  DEAD
KXRAINDALM                      7    40.0    4.00  DEAD
KXRAINCHIM                      7    15.0    1.50  WORTH A FAIR VALUE
KXRAINAUSM                      7    40.0    4.00  DEAD
KXHSI                           7    85.0    8.50  DEAD
KXTORNADO                       7    45.0    4.50  DEAD
KXBTCMINMON                     7     5.0    0.50  WORTH A FAIR VALUE
KXCHINAAI                       7     5.0    0.50  WORTH A FAIR VALUE
KXF1RACE                        7     5.0    0.50  WORTH A FAIR VALUE
KXF1FASTLAP                     7    10.0    1.00  WORTH A FAIR VALUE
KXNATGASW                       7    15.0    1.50  WORTH A FAIR VALUE
KXNETFLIXTOPVIEWSTV             7     5.0    0.50  WORTH A FAIR VALUE
KXFL19R                         7    10.5    1.05  WORTH A FAIR VALUE
KXBRASILEIROCBTTS               7    30.0    3.00  DEAD
KXLOWTSFO                       7    20.0    2.00  UNRESOLVED
KXLOWTSATX                      7    35.0    3.50  DEAD
KXLOWTLV                        7    20.0    2.00  UNRESOLVED
KXLOWTLAX                       7    15.0    1.50  WORTH A FAIR VALUE
KXLOWTHOU                       7    30.0    3.00  DEAD
KXOPENSHARE                     7     5.0    0.50  WORTH A FAIR VALUE
KXDIMAYORBTTS                   7   385.0   38.50  DEAD
KXLIGAPORTUGAL1HSPREAD          7   475.0   47.50  DEAD
KXEREDIVISIE1HSPREAD            7   460.0   46.00  DEAD
KXUFCDISTANCE                   7     5.0    0.50  WORTH A FAIR VALUE
KXWNBA1QTOTAL                   7   125.0   12.50  DEAD
KXWNBA1QSPREAD                  7   125.0   12.50  DEAD
KXCHAMPTOUR                     7    30.0    3.00  DEAD
KXUAPFILES                      7     5.0    0.50  WORTH A FAIR VALUE
KXLEAVEPOWELLGOV                7     5.0    0.50  WORTH A FAIR VALUE
KXHORMUZNORM                    7     5.0    0.50  WORTH A FAIR VALUE
KXNEWROLEJP                     6    27.5    2.75  UNRESOLVED
KXFDAVERVE102                   6    32.5    3.25  DEAD
KXTIMEDECADE20S                 6    22.5    2.25  UNRESOLVED
KXEUEXITCOUNTRY                 6    22.2    2.23  UNRESOLVED
KXDEBTGROWTH                    6    27.5    2.75  UNRESOLVED
KXRECNCBILL                     6    30.0    3.00  DEAD
KXSERBIAPM                      6    30.0    3.00  DEAD
KXGHANAPRES                     6    36.5    3.65  DEAD
KXPRESNOMG                      6    32.5    3.25  DEAD
